healthAuthority_ID,partition,c_count,component_size,component_edges,budget,original_objective,num_simplicials,m_status_agg,m_obj_agg,m_MIPGap_agg,m_runtime_agg,m_status_disagg,m_obj_disagg,m_MIPGap_disagg,m_runtime_disagg,density,perc_reduction_obj_agg,perc_reduction_obj_disagg
0,72,0,2445,10640,489,53625.0,412,9,6854.0,3.04931426903997,3600.2439999580383,9,6854.0,1.82375255325357,3600.369999885559,0.3561160590269062,87.21864801864803,87.21864801864803
0,73,0,2444,9553,488,41298.0,482,9,5660.0,0.45936395759717,3600.175999879837,9,5657.0,0.38889870956337,3600.207999944687,0.3199964091264463,86.294735822558,86.30200009685699
0,74,0,2453,10008,490,43719.0,475,9,5779.99999990469,0.44982698797783,3600.205999851227,9,5784.0,0.22475795297371998,3600.2509999275208,0.33278157916962886,86.77920355016195,86.77005420984011
0,75,0,2452,9772,490,43186.0,415,9,6398.0,1.01594248202563,3600.305999994278,9,6398.0,0.9534229446702001,3600.3289999961853,0.32519935599079647,85.18501366183486,85.18501366183486
0,76,0,2449,7958,489,27581.0,598,2,4165.0,0.0,131.885999917984,2,4165.0,0.0,211.3000001907349,0.26548117545643546,84.89902469091041,84.89902469091041
0,77,0,2457,8386,491,29442.0,636,2,4439.0,0.0,31.763000011444092,2,4439.0,0.0,42.49900007247925,0.27794018022031053,84.92289925956118,84.92289925956118
0,78,0,2457,9271,491,32604.0,579,2,5018.0,0.0,411.3819999694824,2,5018.0,0.0,654.6960000991821,0.30727204994305973,84.60925039872409,84.60925039872409
0,79,0,2452,8721,490,29111.0,573,2,4477.0,0.0,113.45699977874756,2,4478.0,0.0,288.12099981307983,0.2902234530900262,84.62093366768575,84.61749854007077
0,80,0,2451,9053,490,30055.0,601,2,4574.0,0.0,211.11299991607663,2,4574.0,0.0,153.9430000782013,0.30151791438729714,84.78123440359342,84.78123440359342
0,81,0,2451,9589,490,35743.0,596,2,4996.0,0.0,1160.2460000514984,2,4994.0,0.0,1201.180999994278,0.31936985320443967,86.02243795988025,86.02803346109728
0,82,0,2446,9171,489,32176.0,576,2,4646.0,0.0,313.9249999523163,2,4646.0,0.0,171.34500002861023,0.3066983029761875,85.56066633515664,85.56066633515664
0,83,0,2442,8446,488,31639.0,579,2,4600.0,0.0,208.40000009536743,2,4600.0,0.0,466.0499999523163,0.2833789806342039,85.46098169980088,85.46098169980088
0,84,0,2454,7737,490,25388.0,612,2,4134.0,0.0,32.169999837875366,2,4133.0,0.0,31.317000150680546,0.2570576221721419,83.71671655900425,83.72065542776114
0,85,0,2455,8448,491,29300.0,599,2,4678.999999568196,3.293152220316082e-09,39.753000020980835,2,4679.0,0.0,124.73000001907349,0.2804515508990683,84.03071672502324,84.03071672354949
0,86,0,2432,8306,486,30557.0,600,2,4516.0,0.0,1696.5729999542236,2,4517.0,0.0,1929.183000087738,0.2809786962263743,85.22106227705599,85.21778970448669
0,87,0,2459,8918,491,33222.0,559,2,4856.0,0.0,238.05800008773804,2,4858.0,0.0,232.80599999427795,0.2950917421630112,85.3831798206008,85.3771597134429
0,88,0,2451,8457,490,26280.0,559,2,4534.0,0.0,48.45700001716614,2,4534.0,0.0,40.29299998283386,0.2816676242100267,82.74733637747336,82.74733637747336
0,89,0,2455,9354,491,33129.0,555,2,5028.000000061876,2.2570409785545764e-09,409.89999985694885,2,5028.0,0.0,282.77800011634827,0.3105283862582724,84.82296477387824,84.82296477406501
0,90,0,2457,8576,491,30338.0,582,2,4781.0,0.0,218.1029999256134,2,4779.0,0.0,199.00099992752075,0.2842374177879064,84.24088601753576,84.24747840991496
0,91,0,2449,8345,489,25976.0,586,2,4382.0,0.0,39.443000078201294,2,4380.0,0.0,23.395000219345093,0.2783916070851915,83.13058207576225,83.13828149060672
0,92,0,2441,5687,488,16220.0,733,2,3421.0,0.0,89.89000010490417,2,3420.0,0.0,107.72599983215332,0.19096580949758565,78.90875462392108,78.91491985203453
