healthAuthority_ID,partition,c_count,component_size,component_edges,budget,heuristic_K,gurobi_K,pre_optimization_short_pairs,pre_gurobi_short_pairs,post_gurobi_short_pairs,c_pairwise_connectivity,c_new_pairwise_connectivity,heuristic_approach,heuristic_time,gurobi_time,total_time,num_simplicials,m_status,m_obj,m_MIPGap,m_sol_count,m_runtime
0,0,0,2452,8620,490,0,490,28658.0,28658.0,3041.0,1.0,0.0030851346413056,HDA,0,26.605554819107056,26.605554819107056,818,2,3373.84511843713,1.984994568928892e-12,10,22.236670970916748
0,1,0,2567,15618,513,0,513,201905.0,201905.0,27175.0,1.0,0.9353860761865104,HDA,0,3626.8168470859528,3626.8168470859528,236,9,27833.67897500399,0.3913549552475739,3,3600.1023638248444
0,2,0,2532,11661,506,0,506,101964.0,101964.0,20964.0,1.0,0.8786403909668141,HDA,0,3612.8539350032806,3612.8539350032806,319,9,21390.830743752857,0.4711237631408615,6,3600.0559611320496
0,3,0,2516,9261,503,0,503,45282.0,45282.0,6465.0,1.0,0.6839099530981029,HDA,0,3605.7013442516327,3605.7013442516327,422,9,6736.567237501089,0.0303121261915483,10,3600.12034201622
0,4,0,2555,8664,511,0,511,36210.0,36210.0,5673.0,1.0,0.4096600199430445,HDA,0,3604.800432682037,3604.800432682037,466,9,5927.93216875088,0.0074014174791586,10,3600.042533874512
0,5,0,2553,9670,510,0,510,46833.0,46833.0,7127.0,1.0,0.6922939369663882,HDA,0,3606.306567430496,3606.306567430496,436,9,7409.142137501121,0.0509755315888964,10,3600.456135034561
0,6,0,2567,10461,513,0,513,54961.0,54961.0,9228.0,1.0,0.7221360338564553,HDA,0,3606.7016785144806,3606.7016785144806,422,9,9556.099362502116,0.2542816900886388,9,3600.0395889282227
0,7,0,2567,12272,513,0,513,105595.0,105595.0,24226.0,1.0,0.954799089939391,HDA,0,3613.0397322177887,3613.0397322177887,164,9,24649.54379375252,0.3875604876206854,5,3600.06336593628
0,8,0,2398,7996,479,0,479,53327.0,53327.0,10572.0,1.0,0.8212849823481881,HDA,0,3606.4025852680206,3606.4025852680206,434,9,10836.07841875207,0.3440452958571402,7,3600.036941051483
0,9,0,2557,9069,511,0,511,53399.0,53399.0,12339.0,1.0,0.934637326813366,HDA,0,3606.348644018173,3606.348644018173,250,9,12625.2851187519,0.188708693819923,8,3600.037920951844
